datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
23.02.2025;Bundestagswahl;14713000;1169;1169;1;1;828;226;0;1054;540;5;6;534;4;536;200;206;71;67;117;96;4;13;67;63;8;19;7;8;;10;3;3;;0;4;3;;1;1;0;6;3;44;44;1;;1;;;
23.02.2025;Bundestagswahl;14713000;1209;1209;1;1;853;298;0;1151;542;5;1;541;2;540;210;209;42;41;81;61;12;17;107;104;25;37;4;3;;6;10;6;;3;7;4;;3;0;1;0;0;42;45;1;;0;;;
23.02.2025;Bundestagswahl;14713000;1211;1211;1;1;749;346;0;1095;507;5;12;495;10;497;210;208;54;47;88;75;6;9;75;70;18;24;3;1;;8;2;3;;1;3;3;;1;1;1;1;0;31;46;2;;1;;;
23.02.2025;Bundestagswahl;14713000;1220;1220;1;1;845;319;0;1164;636;5;1;635;2;634;252;246;70;56;112;98;12;16;86;83;31;52;10;8;;8;11;5;;1;1;0;;1;0;0;0;1;50;59;0;;0;;;
23.02.2025;Bundestagswahl;14713000;1301;1301;1;1;662;232;0;894;496;3;5;491;6;490;209;212;42;43;107;83;8;14;73;72;12;18;2;1;;4;4;2;;5;3;4;;0;0;0;0;0;29;32;2;;0;;;
23.02.2025;Bundestagswahl;14713000;1309;1309;1;1;621;308;0;929;466;1;2;464;1;465;175;180;54;53;108;75;14;18;62;57;19;34;6;7;;6;1;0;;0;0;0;;2;1;1;2;3;22;29;0;;0;;;
23.02.2025;Bundestagswahl;14713000;1319;1319;1;1;946;212;0;1158;661;2;2;659;2;659;292;303;64;57;155;116;12;17;57;58;15;17;9;8;;8;4;3;;1;4;4;;2;0;0;2;1;43;64;0;;2;;;
23.02.2025;Bundestagswahl;14713000;1329;1329;1;1;899;259;0;1158;604;2;3;601;2;602;248;256;58;49;155;130;19;24;51;54;13;21;6;5;;8;11;7;;1;2;4;;0;2;0;1;0;27;43;6;;2;;;
23.02.2025;Bundestagswahl;14713000;1339;1339;1;1;880;243;0;1123;556;2;6;550;6;550;223;227;57;44;104;96;14;18;64;56;17;25;8;7;;11;12;9;;1;2;2;;1;1;0;1;1;45;52;1;;1;;;
23.02.2025;Bundestagswahl;14713000;1349;1349;1;1;769;249;0;1018;618;6;5;613;6;612;243;235;65;56;179;155;11;19;53;52;18;24;8;7;;2;2;2;;2;0;1;;1;1;1;0;1;26;54;7;;0;;;
